Id,Grain radius,Mean dens,applied stress,Densification rate
1,187,0.8097164053886865,0.7743451853356268,3.93162188770695e-09
2,187,0.8180641715104696,0.9204656874407109,5.695639200802768e-09
2,187,0.8198323812798878,1.0709506236254092,7.127568608698014e-09
2,187,0.8080390237227052,1.2041497643483918,1.46159531813141e-08
2,187,0.8172058901809298,1.4194709239591694,2.8966197140836025e-08
1,187,0.8155988952775274,1.422267743024936,4.173657530533978e-08
6,17,0.8152056883822498,0.5765416099250978,1.6812589734318486e-08
6,17,0.8295252304013699,0.7112502168433449,3.238767879467176e-08
6,17,0.8180845950345753,0.8801045813233656,3.7547827982368365e-08
6,17,0.8096527785936205,1.4327129241931806,8.536233288057867e-08
3,5,0.8401795106983094,0.29874568089786324,1.6579133576137145e-08
3,5,0.8215969414179578,0.45886246770752626,4.2403756235040045e-08
5,5,0.8361568364225962,0.5262170693747968,4.8496934220937724e-08
4,5,0.8309636388076419,0.7180819618728574,6.698092359693462e-08
5,5,0.8266957174839071,1.4031764958581403,2.078783121847183e-07
7,550,0.8198714967199967,1.4148558702683676,2.5320321900149497e-08
